AAPL;JPM;MSFT
Date,Open,High,Low,Close,Adj Close,Volume;Date,Open,High,Low,Close,Adj Close,Volume;Date,Open,High,Low,Close,Adj Close,Volume
2018-05-22,47.095001,47.220001,46.695000,46.790001,45.316906,60962800;2018-05-22,112.349998,114.290001,112.290001,113.010002,103.698448,11507600;2018-05-22,97.680000,98.169998,97.199997,97.500000,94.083664,15441200
2018-05-23,46.587502,47.125000,46.439999,47.090000,45.607460,80233600;2018-05-23,112.510002,112.769997,111.120003,112.489998,103.221283,11453900;2018-05-23,96.709999,98.730003,96.320000,98.660004,95.203033,21251200
2018-05-24,47.192501,47.209999,46.552502,47.037498,45.556606,92936000;2018-05-24,112.139999,112.150002,110.120003,111.230003,102.065117,14084800;2018-05-24,98.730003,98.940002,96.809998,98.309998,94.865280,26649300
2018-05-25,47.057499,47.412498,46.912498,47.145000,45.660728,69844000;2018-05-25,110.459999,111.080002,110.199997,110.660004,101.542068,8283500;2018-05-25,98.300003,98.980003,97.860001,98.360001,94.913544,18363900
2018-05-29,46.900002,47.187500,46.717499,46.974998,45.496067,90056400;2018-05-29,109.180000,109.199997,104.959999,105.930000,97.201813,30643800;2018-05-29,97.839996,98.879997,97.230003,98.010002,94.575783,28671000
2018-05-30,46.930000,47.000000,46.695000,46.875000,45.399216,74762000;2018-05-30,107.639999,108.599998,106.650002,108.349998,99.422409,17490800;2018-05-30,98.309998,99.250000,97.910004,98.949997,95.482864,22158500
2018-05-31,46.805000,47.057499,46.535000,46.717499,45.246677,109931200;2018-05-31,107.949997,108.190002,106.419998,107.010002,98.192818,19808200;2018-05-31,99.290001,99.989998,98.610001,98.839996,95.376717,34140900
2018-06-01,46.997501,47.564999,46.937500,47.560001,46.062668,93770000;2018-06-01,108.339996,108.940002,107.800003,108.400002,99.468277,13594200;2018-06-01,99.279999,100.860001,99.169998,100.790001,97.258377,28655600
2018-06-04,47.910000,48.355000,47.837502,47.957500,46.447643,105064800;2018-06-04,108.989998,109.260002,108.269997,108.449997,99.514145,9415400;2018-06-04,101.260002,101.860001,100.849998,101.669998,98.107552,27281600
2018-06-05,48.267502,48.485001,48.090000,48.327499,46.805992,86264000;2018-06-05,108.239998,108.309998,107.070000,107.839996,98.954422,10415200;2018-06-05,102.000000,102.330002,101.529999,102.190002,98.609337,23514400
2018-06-06,48.407501,48.520000,47.980000,48.494999,46.968220,83734400;2018-06-06,108.660004,110.739998,108.480003,110.360001,101.266792,15453600;2018-06-06,102.480003,102.599998,101.900002,102.489998,98.898811,21122900
2018-06-07,48.535000,48.549999,48.084999,48.365002,46.842308,85388800;2018-06-07,111.180000,111.500000,110.029999,110.800003,101.670540,13444400;2018-06-07,102.650002,102.690002,100.379997,100.879997,97.345245,28232200
2018-06-08,47.792500,48.000000,47.442501,47.924999,46.416172,106627200;2018-06-08,110.620003,111.139999,110.059998,111.110001,101.954994,10383200;2018-06-08,101.089996,101.949997,100.540001,101.629997,98.068954,22165100
2018-06-11,47.837502,47.992500,47.552502,47.807499,46.302372,73234000;2018-06-11,111.120003,111.910004,110.769997,110.830002,101.698067,12642900;2018-06-11,101.010002,101.589996,100.669998,101.050003,97.509277,23490900
2018-06-12,47.847500,48.152500,47.787498,48.070000,46.556599,67644400;2018-06-12,111.139999,111.529999,109.519997,110.190002,101.110802,15294100;2018-06-12,101.099998,101.449997,100.750000,101.309998,97.760170,18325200
2018-06-13,48.105000,48.220001,47.610001,47.674999,46.174034,86553600;2018-06-13,110.459999,111.449997,109.580002,109.970001,100.908936,14979700;2018-06-13,101.720001,102.010002,100.559998,100.849998,97.316292,29492900
